Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Acifluorfen-Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/14.htm,Not approved,acifluorfen-sodium (Ref: RH-6201 ),62476-59-9,Carcinogenic,sodium 5-[2-chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoate,0.01,May causes irreversible eye damageLiver toxicantUSEPA - possible human carcinogen at high doses,Not tested,Not tested
Aclonifen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/15.htm,Approved,aclonifen (Ref: AE F068300),74070-46-5,Carcinogen,2-chloro-6-nitro-3-phenoxybenzenamine,0.07,Possible kidney toxicant,Not tested,Not tested
Acrinathrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/16.htm,Approved,acrinathrin (Ref: RU38702),101007-06-1,Not carcinogenic,"(S)-cyano(3-phenoxyphenyl)methyl (1R,3S)-2,2-dimethyl-3-[(1Z)-3-oxo-3-[2,2,2-trifluoro-1-(trifluoromethyl)ethoxy]-1-propenyl]cyclopropanecarboxylate",0.01,May cause diarrhoea and vomiting if ingestedPossible kidney and blood toxicant,Not tested,Not tested
Acrylonitrile,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2545.htm,Not approved,acrylonitrile (Ref: ENT 54),107-13-1,Carcinogenic,acrylonitrile,-,"May cause light jaundice, leucoytosis, headaches and gastro-intestinal problemsLiver and kidney toxicantIARC group 2B carcinogen",Not tested,Not tested
Afidopyropen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2636.htm,Not approved,afidopyropen (Ref: ME5343),915972-17-7,-,"((3S,4R,4aR,6S,6aS,12R,12aS,12bS)-3-((cyclopropylcarbonyl)oxy)-1,3,4,4a,5,6,6a,12,12a,12b-decahydro-6,12-dihydroxy-4,6a,12b-trimethyl-11-oxo-9-(3-pyridinyl)-2H,11H-naphtho(2,1-b)pyrano(3,4-e)pyran-4-yl)methyl cyclopropanecarboxylate",-,No information available,Not tested,Not tested
Alachlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/17.htm,Not approved,alachlor (Ref: CP 50144 ),15972-60-8,Carcinogenic,"2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",0.01,Probable lung and kidney toxicantCauses irreversible eye damagePossibly genotoxicEndocrine issues - Competitive binding to estrogen and progesterone receptors,Not tested,Not tested
Alanycarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/18.htm,Not approved,alanycarb,83130-01-2,-,"ethyl (3Z)-3,7-dimethyl-6-oxo-9-(phenylmethyl)-5-oxa-2,8-dithia-4,7,9-triazadodec-3-en-12-oate",-,Moderately toxic,Not tested,Not tested
Aldicarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/19.htm,Not approved,aldicarb (Ref: ENT 27093),116-06-3,Carcinogenic,2-methyl-2-(methylthio)propanal O-[(methylamino)carbonyl]oxime,0.003,"Highly toxicIARC Group 3 carcinogen, USEPA - possible human carcinogen at high dosesEndocrine issues - Inhibition of 17 beta-estradiol and progesterone activity",Not tested,Not tested
Aldoxycarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/20.htm,Not approved,aldoxycarb,1646-88-4,-,(EZ)-2-mesyl-2-methylpropionaldehyde O-methylcarbamoyloxime,-,"Highly toxicMay cause headache, dizziness, weakness, ataxia, diarrhea, convulsions and death",Not tested,Not tested
Aldrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/21.htm,Not approved,aldrin (Ref: OMS 194),309-00-2,Not carcinogenic,"(1R,4S,4aS,5S,8R,8aR)-rel-1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8α-hexahydro-1,4:5,8-dimethanonaphthalene",0.0001,Highly toxic by ingestionIARC group 3 carcinogenEndocrine issues - Competitive binding to androgen receptors,Not tested,Not tested
Allidochlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1192.htm,Not approved,allidochlor (Ref: CP 6343),93-71-0,-,"2-chloro-N,N-di-2-propenylacetamide",-,Harmful if swallowed,Not tested,Not tested
Alloxydim Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2660.htm,Not approved,alloxydim sodium,55635-13-7,-,"sodium (4RS)-2-[(E)-1-(allyloxyimino)butyl]-4-(methoxycarbonyl)-5,5-dimethyl-3-oxocyclohex-1-en-1-olate",-,No further information available,Not tested,Not tested
Alloxydim,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/23.htm,Not approved,alloxydim,55634-91-8,-,"methyl 2,2-dimethyl-4,6-dioxo-5-[(1E)-1-[(2-propenyloxy)imino]butyl]cyclohexanecarboxylate",-,No further information available,Not tested,Not tested
Allyl Alcohol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2698.htm,Not approved,allyl alcohol,107�18�6,Not carcinogenic,2-propen-1-ol,-,"Highly toxic via inhalationMay cause headache, drowsiness, dizziness, nausea, kidney and liver damage",Not tested,Not tested
Allyxycarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1673.htm,Not approved,allyxycarb (Ref: BAY 50282),6392-46-7,-,"4-(di-2-propenylamino)-3,5-dimethylphenyl methylcarbamate",-,No further information available,Not tested,Not tested
Alorac,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2699.htm,Not approved,alorac,9360-02-2,-,"(Z)-2,3,5,5,5-pentachloro-4-oxo-2-pentenoic acid",-,No information available,Not tested,Not tested
Alpha-Chlorohydrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1231.htm,Not approved,alpha-chlorohydrin (Ref: U 5897),96-24-2,-,"3-chloro-1,2-propanediol",-,Moderately toxicMay cause pulmonary hemorrhaging & congestionKidney and liver toxicant,Not tested,Not tested
Alpha-Cypermethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/24.htm,Approved,alpha-cypermethrin (Ref: OMS 3004),67375-30-8,Carcinogenic,"(R)-cyano(3-phenoxyphenyl)methyl (1S,3S)-rel-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",0.015,Highly toxic by ingestionUSEPA - possible human carcinogendy,Not tested,Not tested
Aluminium Ammonium Sulphate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/25.htm,Approved,aluminium ammonium sulphate,7784-26-1,Not carcinogenic,aluminium ammonium sulfate dodecahydrate,0.1,Harmful if swallowedIrritant to respiratory and gastrointestinal tracts,Not tested,Not tested
Aluminium Phosphide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/523.htm,Approved,aluminium phosphide,20859-73-8,-,aluminium phosphide,0.019,Highly toxicMay cause dermatitisHeart and lung toxicant,Not tested,Not tested
Aluminium Silicate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2410.htm,Approved,aluminium silicate,1332-58-7,-,-,None allocated,May cause gastrointestinal effectsAntidiarrheal agent,Not tested,Not tested
Aluminium Sulphate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/26.htm,Approved,aluminium sulphate (Ref: T534),10043-01-3,Not carcinogenic,aluminium sulfate,None allocated,"Harmful if swallowedPossible liver, brain and kidney toxicantMay be clastogenic",Not tested,Not tested
Ametoctradin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1648.htm,Approved,ametoctradin (Ref: BAS 650F),865318-97-4,Not carcinogenic,"5-ethyl-6-octyl[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",10,Harmful if swallowed,Not tested,Not tested
Ametridione,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2637.htm,Not approved,ametridione (Ref: BAY SSH 0860),78168-93-1,-,"1-amino-3-(2,2-dimethylpropyl)-6-(ethylthio)-1,3,5-triazine-2,4(1H,3H)-dione",-,No further information available,Not tested,Not tested
Ametryn,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/27.htm,Not approved,ametryn (Ref: G 34162 ),834-12-8,-,"N-ethyl-N'-(1-methylethyl)-6-(methylthio)-1,3,5-triazine-2,4-diamine",0.015,Slightly toxic,Not tested,Not tested
Amicarbazone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1159.htm,Not approved,amicarbazone (Ref: BAY MKH 3586),129909-90-6,Not carcinogenic,"4-amino-N-(1,1-dimethylethyl)-4,5-dihydro-3-(1-methylethyl)-5-oxo-1H-1,2,4-triazole-1-carboxamide",-,Harmful if swallowedPossible liver toxicant,Not tested,Not tested
Amidithion,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1586.htm,Not approved,amidithion (Ref: ENT 27160 ),919-76-6,-,"S-[2-[(2-methoxyethyl)amino]-2-oxoethyl] O,O-dimethyl phosphorodithioate",-,No further information available,Not tested,Not tested
Amidochlor,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2701.htm,Not approved,amidochlor (Ref: MON 4620),40164-67-8,-,"N-[(acetylamino)methyl]-2-chloro-N-(2,6-diethylphenyl)acetamide",-,No information available,Not tested,Not tested
Amidoflumet,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3068.htm,Not approved,amidoflumet (Ref: S-1955),84466-05-7,-,methyl 5-chloro-2-(((trifluoromethyl)sulfonyl)amino)benzoate,-,"Exposure may cause decreases in spontaneous activity, ataxic gait and irregular respirationPossible liver toxicant",Not tested,Not tested
Amidosulfuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/28.htm,Approved,amidosulfuron,120923-37-7,Not carcinogenic,"N-(4,6-dimethoxy-2-pyrimidinyl)-3-methyl-2,4-dithia-3,5-diazahexan-6-amide-2,2,4,4-tetraoxide",0.2,Harmful if swallowed,Not tested,Not tested
Amidothioate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2702.htm,Not approved,amidothioate (Ref: Nk-11),54381-26-9,-,O-[2-chloro-4-(methylthio)phenyl] O-methylethylphosphoramidothioate,-,No information available,Not tested,Not tested
Aminocarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1193.htm,Not approved,aminocarb (Ref: BAY 44646),2032-59-9,-,4-(dimethylamino)-3-methylphenyl methylcarbamate,-,"Ingestion may cause abdominal cramps, diarrhoea, nausea and vomiting",Not tested,Not tested
Aminopyralid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/29.htm,Approved,aminopyralid (Ref: XDE 750),150114-71-9,Not carcinogenic,"4-amino-3,6-dichloro-2-pyridinecarboxylic acid",0.26,May damage the corneal resulting in permanent impairment of vision and blindness,Not tested,Not tested
Amiprofos-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1688.htm,Not approved,amiprofos-methyl (Ref: NTN 5006),36001-88-4,-,O-methyl O-(4-methyl-2-nitrophenyl) (1-methylethyl)phosphoramidothioate,-,Harmful if swallowed,Not tested,Not tested
Amisulbrom,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1137.htm,Approved,amisulbrom,348635-87-0,Carcinogenic,"3-((3-bromo-6-fluoro-2-methyl-1H-indol-1-yl)sulfonyl)-N,N-dimethyl-1H-1,2,4-triazole-1-sulfonamide",0.1,Possible liver toxicantMay cause eye damage,Not tested,Not tested
Amiton,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1689.htm,Not approved,amiton (Ref: ENT 24980-X),78-53-5,-,"S-[2-(diethylamino)ethyl] O,O-diethyl phosphorothioate",-,A deadly poison by ingestion and subcutaneous routesNerve agent,Not tested,Not tested
Amitraz,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/30.htm,Not approved,amitraz (Ref: ENT 27967),33089-61-1,Not carcinogenic,"N'-(2,4-dimethylphenyl)-N-[[(2,4-dimethylphenyl)imino]methyl]-N-methylmethanimidamide",0.003,"Ingestion may cause slow heart beat, low blood pressure, sedation and low body temperature",Not tested,Not tested
Amitrole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/31.htm,Not approved,amitrole,61-82-5,Not carcinogenic,"1H-1,2,4-triazol-3-amine",0.001,Possible thyroid toxicantIARC group 3 carcinogen,Not tested,Not tested
Ammonium Acetate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/32.htm,Approved,ammonium acetate,631-61-8,Not carcinogenic,ammonium acetate,None allocated,"Ingestion may cause liver dysfunctionMay cause flaccidity of facial muscles, tremor, generalized discomfort, anxiety, and impairment of motor performance",Not tested,Not tested
Ammonium Carbonate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/33.htm,Not approved,ammonium carbonate,506-87-6,Not carcinogenic,-,-,May cause irritation to the gastrointestinal tractIrritantIf inhaled will cause breathing difficulties,Not tested,Not tested
Ammonium Hydroxide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/34.htm,Not approved,ammonium hydroxide,1336-21-6,-,-,-,ToxicMay cause corrosion to the esophagus and stomach with perforation and peritonitisMay cause rapid lowering of blood pressure,Not tested,Not tested
Ammonium Sulphamate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/35.htm,Not approved,ammonium sulphamate,7773-06-0,Not carcinogenic,ammonium sulphamate,-,Moderately toxic,Not tested,Not tested
Ammonium Thiocyanate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/37.htm,None - not a ppp,ammonium thiocyanate,1762-95-4,-,-,-,Corrosive to skin and eyesProlonged expsoure may damage thyroidCauses gastrointestinal irritationMay cause muscular weakness and mental confusion,Not tested,Not tested
Ampropylfos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1287.htm,Not approved,ampropylfos (Ref: PNL-62),16606-64-7,Not carcinogenic,(1-aminopropyl)phosphonic acid,-,No further information available,Not tested,Not tested
Ancymidol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/38.htm,Not approved,ancymidol (Ref: EL 531),12771-68-5,-,α-cyclopropyl-α-(4-methoxyphenyl)-5-pyrimidinemethanol,-,Moderately toxicMay cause respiratory problemsPhysical dependence may develop,Not tested,Not tested
Anilazine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/39.htm,Not approved,anilazine (Ref: ENT 26 058),101-05-3,Not carcinogenic,"4,6-dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine",0.1,"Toxic by inhalation, skin absorption, and/or ingestion",Not tested,Not tested
Anisuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2557.htm,Not approved,anisuron,2689-43-2,-,"N-(3,4-dichlorophenyl)-N-[(dimethylamino)carbonyl]-4-methoxybenzamide",-,No further information available,Not tested,Not tested
Anthracene Oil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/40.htm,Not approved,anthracene oil,90640-80-5,Carcinogen,anthracene,-,No further information available,Not tested,Not tested
Anthraquinone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/41.htm,Not approved,anthraquinone,84-65-1,Carcinogenic,"9,10-anthracenedione",-,"IARC Group 2B carcinogenMay be harmful by ingestion, inhalation and through skin contactMay cause dermatitis",Not tested,Not tested
Antu,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2638.htm,Not approved,ANTU,86-88-4,-,1-naphthalenylthiourea,-,May cause pulmonary edema,Not tested,Not tested
Aramite,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1334.htm,Not approved,aramite (Ref: ENT16519),140-57-8,Carcinogen,2-(4-tert-butylphenoxy)-l-methylethyl 2-chloroethyl sulphite,-,Gastrointestinal and liver toxicantIARC Group 2b carcinogen,Not tested,Not tested
Arsenic Acid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2913.htm,Not approved,arsenic acid,7778-39-4,Carcinogen,orthoarsenic acid,-,"Highly toxic - injection may cause muscle weakness, fatigue, anorexia, weight loss.Class A oncogenIARC Group 1 carcinogenMay cause hyperpigmentation &/or hyperkeratosis",Not tested,Not tested
Arsenous Oxide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2703.htm,Not approved,arsenous oxide,1327-53-3,Carcinogen,diarsenic trioxide,-,"Extremely toxicIARC Croup 1 carcinogenWill cause a number of severe symptoms if ingested including chest pains, dizziness, breathing problems and weakness",Not tested,Not tested
Asomate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1510.htm,Not approved,asomate,3586-60-5,-,tris(dimethyldithiocarbamoyl)-arsene,-,No further information available,Not tested,Not tested
Aspon,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2854.htm,Not approved,aspon (Ref: ASP-51),3244-90-4,-,tetrapropyl thiodiphosphate,-,CNS toxicant,Not tested,Not tested
Asulam Sodium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/42.htm,Not approved,asulam sodium (Ref: AE F102789),2302-17-2,Carcinogenic,methyl [(4-aminophenyl)sulfonyl]carbamate monosodium salt,0.36,"Possible blood, thyroid and kidney toxicant",Not tested,Not tested
Asulam,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1551.htm,Not approved,asulam (Ref: M and B 9057),3337-71-1,Carcinogenic,methyl [(4-aminophenyl)sulfonyl]carbamate,0.36,"Kidney, thyroid and blood toxicantUSEPA - some evidence to suggest human carcinogen",Not tested,Not tested
Atraton,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1692.htm,Not approved,atraton,1610-17-9,-,"N-ethyl-6-methoxy-N'-(1-methylethyl)-1,3,5-triazine-2,4-diamine",-,No further information available,Not tested,Not tested
Azaconazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/45.htm,Not approved,azaconazole,60207-31-0,-,"1-((2-(2,4-dichlorophenyl)-1,3-dioxolan-2-yl)methyl)-1H-1,2,4-triazole",0.03,Moderately toxic,Not tested,Not tested
Azafenidin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/47.htm,Not approved,azafenidin,68049-83-2,Not carcinogenic,"2-[2,4-dichloro-5-(2-propynyloxy)phenyl]-5,6,7,8-tetrahydro-1,2,4-triazolo[4,3-a]pyridin-3(2H)-one",-,No further information available,Not tested,Not tested
Azamethiphos,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/48.htm,Not approved,azamethiphos (Ref: GCA 18809),35575-96-3,-,"S-[(6-chloro-2-oxooxazolo[4,5-b]pyridin-3(2H)-yl)methyl] O,O-dimethyl phosphorothioate",0.003,Mutagenic potential,Not tested,Not tested
Azimsulfuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/49.htm,Approved,azimsulfuron,120162-55-2,Not carcinogenic,"N-(((4,6-dimethoxy-2-pyrimidinyl)amino)carbonyl)-1-methyl-4-(2-methyl-2H-tetrazol-5-yl)-1H-pyrazole-5-sulfonamide",0.1,Possible pancreas toxicantPossible liver and kidney toxicant,Not tested,Not tested
Azinphos-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/50.htm,Not approved,azinphos-ethyl (Ref: BAY 16259),2642-71-9,Not carcinogenic,"O,O-diethyl S-((4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl) phosphorodithioate",0.03,No further information available,Not tested,Not tested
Azithiram,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1693.htm,Not approved,azithiram (Ref: PP447),5834-94-6,-,"bis(3,3-dimethylthiocarbazoyl) disulfide",-,No further information available,Not tested,Not tested
Azobenzene,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1296.htm,Not approved,azobenzene (Ref: ENT 14611),103-33-3,Carcinogenic,azobenzene,-,Harmful is swallowed or inhaledTumorigenic agentIARC Group 3 carcinogenProbably liver toxicant,Not tested,Not tested
Azocyclotin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/53.htm,Not approved,azocyclotin (Ref: BAY BUE 1452),41083-11-8,-,"1-(tricyclohexylstannyl)-1H-1,2,4-triazole",0.003,No further information available,Not tested,Not tested
Azoluron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2923.htm,Not approved,azoluron,4058-90-6,-,N-(1-ethyl-1H-pyrazol-5-yl)-N��-phenylurea,-,No information available,Not tested,Not tested
Azothoate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2542.htm,Not approved,azothoate,5834-96-8,-,"O-[4-[(4-chlorophenyl)azo]phenyl] O,O-dimethyl phosphorothioate",-,"May cause headaches, blurred vision, sweating and nauseaLiver and kidney toxicant",Not tested,Not tested
Azoxybenzene,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1459.htm,Not approved,azoxybenzene (Ref: HSDB 2861),495-48-7,Carcinogenic,"1,2-diphenyldiazene-1-oxide",-,Liver and Kidney toxicantMay cause jaundice or cyanosis,Not tested,Not tested
Azoxystrobin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/54.htm,Approved,azoxystrobin (Ref: ICI 5504),131860-33-8,Not carcinogenic,methyl (αE)-2-[[6-(2-cyanophenoxy)-4-pyrimidinyl]oxy]-α-(methoxymethylene)benzeneacetate,0.2,Minor effects on reproduction / development observedLiver toxicant,Not tested,Not tested
Barban,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1108.htm,Not approved,barban (Ref: A-980),101-27-9,-,4-chloro-2-butynyl (3-chlorophenyl)carbamate,-,May cause contact dermatitisPotential immunosuppressant,Not tested,Not tested
Barium Carbonate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2704.htm,Not approved,barium carbonate,513-77-9,Not carcinogenic,barium carbonate,Intravenous LD50 = 20 mg kg-1,"Heart and cardiovascular system toxicantPossible liver toxicantMay cause excessive salivation, vomiting, severe abdominal pain, violent diarrhea if ingested",Not tested,Not tested
Barium Polysulphide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1458.htm,Not approved,barium polysulphide,50864-67-0,Not carcinogenic,barium sulphide,-,Highly toxicRespiratory toxicantMay cause pulmonary edema and chronic barium poisoning,Not tested,Not tested
Beflubutamid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/58.htm,Approved,beflubutamid (Ref: UBH 820),113614-08-7,Not carcinogenic,2-[4-fluoro-3-(trifluoromethyl)phenoxy]-N-(phenylmethyl)butanamide,0.02,"Possible liver, kidney and thyroid toxicant",Not tested,Not tested
Benalaxyl-M,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1010.htm,Approved,benalaxyl-M (Ref: IR 6141),98243-83-5,Not carcinogenic,"methyl N-(2,6-dimethylphenyl)-N-(phenylacetyl)-D-alaninate",0.04,Possible liver toxicant,Not tested,Not tested
Benalaxyl-M,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1010.htm,Approved,benalaxyl-M (Ref: IR 6141),98243-83-5,Not carcinogenic,"methyl N-(2,6-dimethylphenyl)-N-(phenylacetyl)-D-alaninate",0.04,Possible liver toxicant,Not tested,Not tested
Benazolin Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1086.htm,Not approved,benazolin ethyl,25059-80-7,-,ethyl 4-chloro-2-oxo-3(2H)-benzothiazoleacetate,0.006,No further information available,Not tested,Not tested
Benazolin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/60.htm,Not approved,benazolin (Ref: RD 7693),3813-05-6,-,4-chloro-2-oxo-3(2H)-benzothiazoleacetic acid,-,No further information available,Not tested,Not tested
Bencarbazone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1697.htm,Not approved,bencarbazone (Ref: TM-435),173980-17-1,-,"4-[4,5-dihydro-4-methyl-5-oxo-3-(trifluoromethyl)-1H-1,2,4-triazol-1-yl]-2-[(ethylsulfonyl)amino]-5-fluorobenzenecarbothioamide",-,No further information available,Not tested,Not tested
Benclothiaz,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1681.htm,Not approved,benclothiaz (Ref: CGA 235860),89583-90-4,-,"7-chloro-1,2-benzisothiazole",-,No further information available,Not tested,Not tested
Bendiocarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/61.htm,Not approved,bendiocarb (Ref: NC 6897),22781-23-3,Not carcinogenic,"2,2-dimethyl-1,3-benzodioxol-4-yl methylcarbamate",0.004,May cause hepatic and renal diseasesMay cause respiratory problemsEndocrine issues - Weak estrogen effect,Not tested,Not tested
Benfuresate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/64.htm,Not approved,benfuresate (Ref: NC 20484),68505-69-1,Not carcinogenic,"2,3-dihydro-3,3-dimethyl-5-benzofuranyl ethanesulfonate",0.03,No further information available,Not tested,Not tested
Benodanil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/65.htm,Not approved,benodanil (Ref: BAS 3170),15310-01-7,-,2-iodo-N-phenylbenzamide,-,No further information available,Not tested,Not tested
Benomyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/66.htm,Not approved,benomyl (Ref: T 1991),17804-35-2,Carcinogenic,methyl 1-(butylcarbamoyl)benzimidazol-2-ylcarbamate,0.1,May cause eye defects in new borns - anophthalmiaMay cause contact dermatitis and may be a skin sensitiserEndocrine issues - Increase of estrogen production and aromatase activity,Not tested,Not tested
Benquinox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1188.htm,Not approved,benquinox (Ref: BAY 15080),495-73-8,-,"benzoic acid [4-(hydroxyimino)-2,5-cyclohexadien-1-ylidene]hydrazide",-,Harmful if swallowed,Not tested,Not tested
Bensulfuron-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/68.htm,Approved,bensulfuron-methyl (Ref: DPX F5384),83055-99-6,Not carcinogenic,"methyl 2-[[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]methyl]benzoate",0.2,Possible liver toxicant,Not tested,Not tested
Bensultap,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/70.htm,Not approved,bensultap (Ref: OMS 3011),17606-31-4,-,"S,S'-(2-(dimethylamino)-1,3-propanediyl) di(benzenesulfonothioate)",-,No further information available,Not tested,Not tested
Bentaluron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1254.htm,Not approved,bentaluron (Ref: CGA 18734),28956-64-1,-,N-2-benzothiazolyl-N'-(1-methylethyl)urea,-,No further information available,Not tested,Not tested
Bentazone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/71.htm,Approved,bentazone,25057-89-0,Not carcinogenic,"3-(1-methylethyl)-1H-2,1,3-benzothiadiazin-4(3H)-one 2,2-dioxide",0.1,"Possible blood, liver, kidney toxicant",Not tested,Not tested
Benthiavalicarb Isopropyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2172.htm,Approved,benthiavalicarb isopropyl (Ref: KIF-230),177406-68-7,Carcinogen,1-methylethyl N-[(1S)-1-[[[(1R)-1-(6-fluoro-2-benzothiazolyl)ethyl]amino]carbonyl]-2-methylpropyl]carbamate,0.1,May cause allergic reactionPossible liver & thyroid toxicant,Not tested,Not tested
Benthiavalicarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/72.htm,Approved,benthiavalicarb,413615-35-7,Carcinogenic,[(1S)-1-[[[(1R)-1-(6-fluoro-2-benzothiazolyl)ethyl]amino]carbonyl]-2-methylpropyl]carbamic acid,0.1,May cause allergic reactionPossible liver and thyroid toxicant,Not tested,Not tested
Benzadox Ammonium,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2706.htm,Not approved,benzadox ammonium,5251-79-6,-,ammonium 2-[(benzoylamino)oxy]acetate,-,No information available,Not tested,Not tested
Benzadox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2705.htm,Not approved,benzadox (Ref: MC0035),5251-93-4,-,[(benzoylamino)oxy]acetic acid,-,No information available,Not tested,Not tested
Benzalkonium Chloride,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1332.htm,Not approved,benzalkonium chloride,8001-54-5,-,"quaternary ammonium compounds, alkylbenzyldimethyl, chlorides",-,"Severe over-exposure can produce lung damageKidneys, liver, heart, gastrointestinal tract toxicant",Not tested,Not tested
